item	repeatability	subject	subject number	sent	model	measure	rating
1	repeatable	pronoun	singular	More students have been to Russia than I have.	bert-base-cased	ppl	5.447185039520264
1	repeatable	pronoun	plural	More students have been to Russia than we have.	bert-base-cased	ppl	5.561063766479492
1	repeatable	pronoun	control	Many students have been to Russia more than I have.	bert-base-cased	ppl	8.169454574584961
1	nonrepeatable	pronoun	singular	More students have escaped from Russia than I have.	bert-base-cased	ppl	9.549769401550293
1	nonrepeatable	pronoun	plural	More students have escaped from Russia than we have.	bert-base-cased	ppl	8.061588287353516
1	nonrepeatable	pronoun	control	Many students have escaped from Russia more than I have.	bert-base-cased	ppl	15.768430709838867
1	repeatable	np	singular	More students have been to Russia than the teacher has.	bert-base-cased	ppl	9.749744415283203
1	repeatable	np	plural	More students have been to Russia than the teachers have.	bert-base-cased	ppl	5.598283767700195
1	repeatable	np	control	More students have been to Russia than teachers have.	bert-base-cased	ppl	6.62239408493042
1	nonrepeatable	np	singular	More students have escaped from Russia than the teacher has.	bert-base-cased	ppl	14.177675247192383
1	nonrepeatable	np	plural	More students have escaped from Russia than the teachers have.	bert-base-cased	ppl	8.435822486877441
1	nonrepeatable	np	control	More students have escaped from Russia than teachers have.	bert-base-cased	ppl	9.054816246032715
2	repeatable	pronoun	singular	More teenagers have used Tiktok than I have.	bert-base-cased	ppl	51.20170974731445
2	repeatable	pronoun	plural	More teenagers have used Tiktok than we have.	bert-base-cased	ppl	54.747825622558594
2	repeatable	pronoun	control	Many teenagers have used Tiktok more than I have.	bert-base-cased	ppl	49.98514175415039
2	nonrepeatable	pronoun	singular	More teenagers have installed Tiktok than I have.	bert-base-cased	ppl	74.16278839111328
2	nonrepeatable	pronoun	plural	More teenagers have installed Tiktok than we have.	bert-base-cased	ppl	72.25894165039062
2	nonrepeatable	pronoun	control	Many teenagers have installed Tiktok more than I have.	bert-base-cased	ppl	124.86029052734375
2	repeatable	np	singular	More teenagers have used Tiktok than the adult has.	bert-base-cased	ppl	122.82108306884766
2	repeatable	np	plural	More teenagers have used Tiktok than the adults have.	bert-base-cased	ppl	35.96112823486328
2	repeatable	np	control	More teenagers have used Tiktok than adults have.	bert-base-cased	ppl	31.71507453918457
2	nonrepeatable	np	singular	More teenagers have installed Tiktok than the adult has.	bert-base-cased	ppl	232.29774475097656
2	nonrepeatable	np	plural	More teenagers have installed Tiktok than the adults have.	bert-base-cased	ppl	56.463356018066406
