sent	item	cond	recode	plausible	model	measure	rating
No head injury is too trivial to be ignored.	1	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	13.150582313537598
No plan is too unrealistic to be rejected.	2	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	19.74696922302246
No mistake is too insignificant to be overlooked.	3	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	36.94590759277344
No TV show is too unsuccessful to be discontinued.	4	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	38.47080993652344
No applicant is too inexperienced to be rejected.	5	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	25.418367385864258
No position under siege is too insignificant to be abandoned.	6	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	25.967042922973633
No decision is too unclear to be postponed.	7	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	25.044466018676758
No teenager is too rebellious to be marginalized.	8	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	28.467445373535156
No heirloom is too worthless to be thrown out.	9	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	18.021360397338867
No objection is too negligible to be ignored.	10	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	34.80790710449219
No law is too ambiguous to be misinterpreted.	11	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	32.32715606689453
No detail is too unimportant to be left out.	12	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	11.304544448852539
No problem is too insignificant to be concealed.	13	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	46.93634796142578
No chapter is too nonessential to be skipped.	14	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	79.35458374023438
No memory is too fuzzy to be forgotten.	15	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	24.509395599365234
No article is too mediocre to go unpublished.	16	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	131.9535369873047
No fee is too unprofitable to be waived.	17	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	13.647709846496582
No lecture is too boring to be skipped.	18	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	26.158424377441406
No exam is too useless to be canceled.	19	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	44.310665130615234
No potential habitat is too nutrient-poor to be uninhabited.	20	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	13.445117950439453
No artificial ingredient is too harmless to be abandoned.	21	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	50.48460388183594
No possible conversation topic is too unemotional to be left out.	22	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	39.42636489868164
No anonymous tip is too vague to be neglected.	23	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	20.785598754882812
No computer game is too harmless to be released.	24	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	37.34718322753906
No physics theory is too implausible to be dismissed.	25	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	38.05131912231445
No amateur play is too unoriginal to be missed.	26	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	66.49464416503906
No financial aid package is too small to be cut.	27	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	16.127418518066406
No social security payment is too small to be missed.	28	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	9.205580711364746
No wording is too imprecise to be misunderstood.	29	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	45.301841735839844
No plea for clemency is too unreasonable to be rejected.	30	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	16.142568588256836
No muscle spasm is too painless to be overlooked.	31	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	24.04682159423828
No return on investments is too unprofitable to be disregarded.	32	de-implsb-qneg	No..too..ignored	implausible	bert-base-cased	ppl	12.866004943847656
No head injury is too trivial to not be ignored.	1	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	18.240520477294922
No plan is too unrealistic to not be rejected.	2	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	21.87130355834961
No mistake is too insignificant to not be overlooked.	3	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	34.31704330444336
No TV show is too unsuccessful to not be discontinued.	4	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	45.577430725097656
No applicant is too inexperienced to not be rejected.	5	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	25.81083869934082
No position under siege is too insignificant to not be abandoned.	6	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	27.38615608215332
No decision is too unclear to not be postponed.	7	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	25.33342933654785
No teenager is too rebellious to not be marginalized.	8	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	29.123241424560547
No heirloom is too worthless to not be thrown out.	9	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	18.609230041503906
No objection is too negligible to not be ignored.	10	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	41.37915802001953
No law is too ambiguous to not be misinterpreted.	11	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	34.56596755981445
No detail is too unimportant to not be left out.	12	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	13.865513801574707
No problem is too insignificant to not be concealed.	13	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	51.15150833129883
No chapter is too nonessential to not be skipped.	14	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	86.16470336914062
No memory is too fuzzy to not be forgotten.	15	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	25.460880279541016
No article is too mediocre to not go unpublished.	16	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	106.72549438476562
No fee is too unprofitable to not be waived.	17	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	13.926506996154785
No lecture is too boring to not be skipped.	18	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	33.20724868774414
No exam is too useless to not be canceled.	19	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	53.81367111206055
No potential habitat is too nutrient-poor to not be uninhabited.	20	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	16.55187225341797
No artificial ingredient is too harmless to not be abandoned.	21	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	59.4624137878418
No possible conversation topic is too unemotional to not be left out.	22	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	46.44538116455078
No anonymous tip is too vague to not be neglected.	23	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	22.111082077026367
No computer game is too harmless to not be released.	24	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	48.84170150756836
No physics theory is too implausible to not be dismissed.	25	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	42.17993927001953
No amateur play is too unoriginal to not be missed.	26	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	64.50647735595703
No financial aid package is too small to not be cut.	27	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	15.331510543823242
No social security payment is too small to not be missed.	28	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	9.435128211975098
No wording is too imprecise to not be misunderstood.	29	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	50.425453186035156
No plea for clemency is too unreasonable to not be rejected.	30	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	18.477319717407227
No muscle spasm is too painless to not be overlooked.	31	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	26.051959991455078
No return on investments is too unprofitable to not be disregarded.	32	de-plsb-qneg	No..too..not..ignored	plausible	bert-base-cased	ppl	13.31043529510498
No head injury is too trivial to not be treated.	1	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	22.65069580078125
No plan is too unrealistic to not be made.	2	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	15.980202674865723
No mistake is too insignificant to not be corrected.	3	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	29.378541946411133
No TV show is too unsuccessful to not be continued.	4	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	30.15643310546875
No applicant is too inexperienced to not be accepted.	5	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	23.705778121948242
No position under siege is too insignificant to not be defended.	6	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	18.44468116760254
No decision is too unclear to not be executed.	7	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	23.78467559814453
No teenager is too rebellious to not be accepted.	8	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	22.767635345458984
No heirloom is too worthless to not be inherited.	9	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	19.27790641784668
No objection is too negligible to not be noticed.	10	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	50.78212356567383
No law is too ambiguous to not be interpreted correctly.	11	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	9.105829238891602
No detail is too unimportant to not be dealt with.	12	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	18.535930633544922
No problem is too insignificant to not be uncovered.	13	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	46.89186477661133
No chapter is too nonessential to not be read.	14	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	50.61606216430664
No memory is too fuzzy to not be remembered.	15	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	18.218732833862305
No article is too mediocre to not be published.	16	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	35.52680206298828
No fee is too unprofitable to not be charged.	17	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	13.419825553894043
No lecture is too boring to not be attended.	18	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	23.25502586364746
No exam is too useless to not be administered.	19	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	65.62661743164062
No potential habitat is too nutrient-poor to not be inhabited.	20	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	14.56544017791748
No artificial ingredient is too harmless to not be used.	21	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	25.36558723449707
No possible conversation topic is too unemotional to not be brought up.	22	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	41.72764587402344
No anonymous tip is too vague to not be acted on.	23	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	11.735319137573242
No computer game is too harmless to not be banned.	24	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	27.59311294555664
No physics theory is too implausible to not be developed.	25	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	38.276893615722656
No amateur play is too unoriginal to not be attended.	26	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	48.62957763671875
No financial aid package is too small to not be issued.	27	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	7.007606506347656
No social security payment is too small to not be cashed.	28	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	10.556201934814453
No wording is too imprecise to not be understood.	29	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	30.127403259277344
No plea for clemency is too unreasonable to not be considered.	30	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	19.956405639648438
No muscle spasm is too painless to not be treated.	31	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	22.313812255859375
No return on investments is too unprofitable to not be managed.	32	in-implsb-qneg	No..too..not..treated	implausible	bert-base-cased	ppl	17.57646369934082
No head injury is too trivial to be treated.	1	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	20.154329299926758
No plan is too unrealistic to be made.	2	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	11.576586723327637
No mistake is too insignificant to be corrected.	3	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	28.60858154296875
No TV show is too unsuccessful to be continued.	4	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	24.10556411743164
No applicant is too inexperienced to be accepted.	5	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	22.271629333496094
No position under siege is too insignificant to be defended.	6	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	15.808270454406738
No decision is too unclear to be executed.	7	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	24.172382354736328
No teenager is too rebellious to be accepted.	8	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	22.953598022460938
No heirloom is too worthless to be inherited.	9	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	14.856219291687012
No objection is too negligible to be noticed.	10	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	51.102603912353516
No law is too ambiguous to be interpreted correctly.	11	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	7.9656877517700195
No detail is too unimportant to be dealt with.	12	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	16.12014389038086
No problem is too insignificant to be uncovered.	13	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	47.20209884643555
No chapter is too nonessential to be read.	14	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	51.739952087402344
No memory is too fuzzy to be remembered.	15	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	15.208635330200195
No article is too mediocre to be published.	16	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	37.18400955200195
No fee is too unprofitable to be charged.	17	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	10.245216369628906
No lecture is too boring to be attended.	18	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	23.821077346801758
No exam is too useless to be administered.	19	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	55.9551887512207
No potential habitat is too nutrient-poor to be inhabited.	20	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	11.11899185180664
No artificial ingredient is too harmless to be used.	21	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	18.311538696289062
No possible conversation topic is too unemotional to be brought up.	22	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	33.92276382446289
No anonymous tip is too vague to be acted on.	23	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	10.756662368774414
No computer game is too harmless to be banned.	24	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	23.165668487548828
No physics theory is too implausible to be developed.	25	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	31.9888858795166
No amateur play is too unoriginal to be attended.	26	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	47.482154846191406
No financial aid package is too small to be issued.	27	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	6.248946189880371
No social security payment is too small to be cashed.	28	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	9.111959457397461
No wording is too imprecise to be understood.	29	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	26.056058883666992
No plea for clemency is too unreasonable to be considered.	30	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	16.783010482788086
No muscle spasm is too painless to be treated.	31	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	19.106542587280273
No return on investments is too unprofitable to be managed.	32	in-plsb-qneg	No..too..treated	plausible	bert-base-cased	ppl	15.030598640441895
No head injury is too severe to be ignored.	1	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	10.356339454650879
No plan is too realistic to be rejected.	2	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	20.5155029296875
No mistake is too fatal to be overlooked.	3	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	23.24024200439453
No TV show is too successful to be discontinued.	4	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	18.13530158996582
No applicant is too experienced to be rejected.	5	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	19.85114860534668
No position under siege is too important to be abandoned.	6	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	9.877153396606445
No decision is too clear to be postponed.	7	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	34.11962127685547
No teenager is too conformist to be marginalized.	8	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	51.03099060058594
No heirloom is too valuable to be thrown out.	9	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	10.359793663024902
No objection is too essential to be ignored.	10	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	27.042762756347656
No law is too unambiguous to be misinterpreted.	11	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	33.57188034057617
No detail is too important to be left out.	12	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	5.659463882446289
No problem is too significant to be concealed.	13	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	35.77069091796875
No chapter is too essential to be skipped.	14	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	24.646770477294922
No memory is too clear to be forgotten.	15	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	15.25234317779541
No article is too exceptional to go unpublished.	16	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	48.16689682006836
No fee is too profitable to be waived.	17	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	22.152835845947266
No lecture is too interesting to be skipped	18	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	237.5313262939453
No test is too useful to be canceled.	19	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	31.04159927368164
No potential habitat is too nutrient-rich to be uninhabited.	20	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	11.691688537597656
No artificial ingredient is too harmful to be used.	21	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	10.246166229248047
No possible conversation topic is too emotional to be left out.	22	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	14.017539024353027
No anonymous tip is too important to be neglected.	23	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	12.784586906433105
No computer game is too violent to be released.	24	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	17.266700744628906
No physics theory is too plausible to be dismissed.	25	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	22.965057373046875
No amateur play is too original to be missed.	26	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	42.77488708496094
No financial aid package is too large to be cut.	27	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	12.652548789978027
No social security payment is too important to be missed.	28	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	7.070924758911133
No wording is too precise to be misunderstood.	29	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	22.180727005004883
No plea for clemency is too reasonable to be rejected.	30	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	26.89667320251465
No muscle spasm is too painful to be overlooked.	31	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	18.892013549804688
No return on investments are too profitable to be disregarded.	32	negini-posadj	No..too severe .. ignored	implausible	bert-base-cased	ppl	16.846906661987305
Some head injuries are too trivial to be ignored.	1	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	9.03803825378418
Some plans are too unrealistic to be rejected.	2	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	17.010494232177734
Some mistakes are too insignificant to be overlooked.	3	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	18.499195098876953
Some TV shows are too unsuccessful to be discontinued.	4	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	12.926262855529785
Some applicants are too inexperienced to be rejected.	5	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	11.424652099609375
Some positions under siege are too insignificant to be abandoned.	6	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	21.87786865234375
Some decisions are too unclear to be postponed.	7	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	17.178049087524414
Some teenagers are too rebellious to be marginalized.	8	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	15.405043601989746
Some heirlooms are too worthless to be thrown out.	9	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	12.122668266296387
Some objections are too negligible to be ignored.	10	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	18.192829132080078
Some laws are too ambiguous to be misinterpreted.	11	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	19.768381118774414
Some details are too unimportant to be left out.	12	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	5.583212852478027
Some problems are too insignificant to be concealed.	13	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	29.213796615600586
Some chapters are too nonessential to be skipped.	14	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	36.035884857177734
Some memories are too fuzzy to be forgotten.	15	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	14.267234802246094
Some articles are too mediocre to go unpublished.	16	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	94.82686614990234
Some fees are too unprofitable to be waived.	17	posini-negadj	Some..too trivial..ignored	implausible	bert-base-cased	ppl	7.22795295715332
