expNum	itemNum	condition	sent	model	measure	rating
1	1	Licensor Absent	The senator who the farmer believed to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	86.6456298828125
1	1	Matrix No	No senator who the farmer believed to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	46.090065002441406
1	1	Relative Didn't	The senator who didn't believe the farmer to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	37.20587921142578
1	1	Relative No	The senator who no farmer believed to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	111.71285247802734
2	1	Relative Did Not	The senator who did not believe the farmer to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	42.715084075927734
3	1	Relative Never	The senator who never believed the farmer to be untrustworthy will ever vote yes on the smoking proposal.	bert-base-cased	ppl	53.76515197753906
6	1	Embedded No	The hunter who believed no fisherman to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	52.059783935546875
6	1	Embedded Not a Single	The hunter who believed not a single fisherman to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	34.083744049072266
6	1	Licensor Absent	The hunter who the fisherman believed to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	27.865144729614258
6	1	Matrix No	No hunter who the fisherman believed to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	16.818588256835938
6	1	Relative Subject No	The hunter who no fisherman believed to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	57.49832534790039
6	1	Relative Subject Not A Single	The hunter who not a single fisherman believed to be trustworthy will ever shoot a bear.	bert-base-cased	ppl	54.034908294677734
1	2	Licensor Absent	The hunter who the fisherman believed to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	26.243194580078125
1	2	Matrix No	No hunter who the fisherman believed to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	15.192209243774414
1	2	Relative Didn't	The hunter who didn't believe the fisherman to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	17.781827926635742
1	2	Relative No	The hunter who no fisherman believed to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	49.95146560668945
2	2	Relative Did Not	The hunter who did not believe the fisherman to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	17.726926803588867
3	2	Relative Never	The hunter who never believed the fisherman to be respectable will ever shoot a brown bear.	bert-base-cased	ppl	22.805044174194336
6	2	Embedded No	The senator who believed no farmer to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	87.29446411132812
6	2	Embedded Not a Single	The senator who believed not a single farmer to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	72.42684173583984
6	2	Licensor Absent	The senator who the farmer believed to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	98.9324722290039
6	2	Matrix No	No senator who the farmer believed to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	45.773597717285156
6	2	Relative Subject No	The senator who no farmer believed to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	153.23960876464844
6	2	Relative Subject Not A Single	The senator who not a single farmer believed to be respectable will ever vote yes on the smoking proposal.	bert-base-cased	ppl	113.06975555419922
1	3	Licensor Absent	The artist who the curator remembered from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	26.024206161499023
1	3	Matrix No	No artist who the curator remembered from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	16.209121704101562
1	3	Relative Didn't	The artist who didn't remember the curator from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	12.063178062438965
1	3	Relative No	The artist who no curator remembered from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	54.05619812011719
2	3	Relative Did Not	The artist who did not remember the curator from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	14.834630012512207
3	3	Relative Never	The artist who never remembered the curator from the gallery will ever make a bronze sculpture.	bert-base-cased	ppl	23.43274688720703
